n,offset_bytes,mode,implementation,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
64,0,reset,pointers,7,131072,1193298,1198587,9.1041412353515625,9.1444931030273438
64,0,reset,pipeline,7,131072,1154443,1159718,8.8077011108398438,8.8479461669921875
64,0,reset,blocks,7,131072,1384571,1389677,10.563438415527344,10.602394104003906
64,0,reset,openblas-leaf,7,131072,1133255,1138561,8.6460494995117188,8.6865310668945312
64,0,reset,openblas-aligned,7,131072,1169541,1174820,8.9228897094726562,8.963165283203125
64,0,reset,openblas,7,131072,1423324,1428408,10.859100341796875,10.89788818359375
64,0,reset,onemkl,7,131072,1975112,1980412,15.06890869140625,15.109344482421875
64,8,negate,current,1,131072,769194,774374,5.8684844970703125,5.9080047607421875
64,8,negate,pointers,1,131072,766577,786822,5.8485183715820312,6.0029754638671875
64,8,negate,pipeline,1,131072,776210,781328,5.9220123291015625,5.9610595703125
64,8,negate,blocks,1,131072,765766,771145,5.8423309326171875,5.8833694458007812
64,8,negate,openblas-leaf,1,131072,830892,836156,6.339202880859375,6.379364013671875
64,8,negate,openblas-aligned,1,131072,861838,867401,6.5753021240234375,6.6177444458007812
64,8,negate,openblas,1,131072,926065,931062,7.0653152465820312,7.1034393310546875
64,8,negate,onemkl,1,131072,1625566,1630857,12.402084350585938,12.442451477050781
64,8,negate,current,2,131072,768213,773435,5.8610000610351562,5.9008407592773438
64,8,negate,pointers,2,131072,768945,774040,5.8665847778320312,5.90545654296875
64,8,negate,pipeline,2,131072,769528,774600,5.87103271484375,5.90972900390625
64,8,negate,blocks,2,131072,768996,774158,5.866973876953125,5.9063568115234375
64,8,negate,openblas-leaf,2,131072,827573,832676,6.3138809204101562,6.352813720703125
64,8,negate,openblas-aligned,2,131072,862934,868098,6.5836639404296875,6.6230621337890625
64,8,negate,openblas,2,131072,919565,924546,7.0157241821289062,7.0537261962890625
64,8,negate,onemkl,2,131072,1623831,1629056,12.388847351074219,12.4287109375
64,8,negate,current,3,131072,776527,781900,5.9244308471679688,5.965423583984375
64,8,negate,pointers,3,131072,773671,779062,5.9026412963867188,5.9437713623046875
64,8,negate,pipeline,3,131072,773575,778970,5.9019088745117188,5.9430694580078125
64,8,negate,blocks,3,131072,774828,780452,5.911468505859375,5.954376220703125
64,8,negate,openblas-leaf,3,131072,839296,844875,6.4033203125,6.4458847045898438
64,8,negate,openblas-aligned,3,131072,866825,872497,6.6133499145507812,6.6566238403320312
64,8,negate,openblas,3,131072,924161,929378,7.0507888793945312,7.0905914306640625
64,8,negate,onemkl,3,131072,1638344,1644157,12.49957275390625,12.543922424316406
64,8,negate,current,4,131072,783758,789027,5.9795989990234375,6.0197982788085938
64,8,negate,pointers,4,131072,899183,904430,6.8602218627929688,6.9002532958984375
64,8,negate,pipeline,4,131072,786043,791265,5.9970321655273438,6.0368728637695312
64,8,negate,blocks,4,131072,788470,793699,6.0155487060546875,6.0554428100585938
64,8,negate,openblas-leaf,4,131072,858252,863505,6.547943115234375,6.5880203247070312
64,8,negate,openblas-aligned,4,131072,876537,881773,6.6874465942382812,6.7273941040039062
64,8,negate,openblas,4,131072,951006,956029,7.2555999755859375,7.2939224243164062
64,8,negate,onemkl,4,131072,1653074,1658413,12.611953735351562,12.652687072753906
64,8,negate,current,5,131072,781971,787476,5.9659652709960938,6.007965087890625
64,8,negate,pointers,5,131072,777246,782956,5.9299163818359375,5.973480224609375
64,8,negate,pipeline,5,131072,782927,788349,5.9732589721679688,6.0146255493164062
64,8,negate,blocks,5,131072,776186,781529,5.9218292236328125,5.9625930786132812
64,8,negate,openblas-leaf,5,131072,838858,844143,6.3999786376953125,6.4402999877929688
64,8,negate,openblas-aligned,5,131072,869022,874539,6.6301116943359375,6.6722030639648438
64,8,negate,openblas,5,131072,934990,940162,7.1334075927734375,7.1728668212890625
64,8,negate,onemkl,5,131072,1648389,1654082,12.576210021972656,12.619644165039062
64,8,negate,current,6,131072,783680,788938,5.97900390625,6.0191192626953125
64,8,negate,pointers,6,131072,782266,787462,5.9682159423828125,6.0078582763671875
64,8,negate,pipeline,6,131072,790703,795993,6.0325851440429688,6.0729446411132812
64,8,negate,blocks,6,131072,781158,786423,5.9597625732421875,5.9999313354492188
64,8,negate,openblas-leaf,6,131072,847317,852490,6.4645156860351562,6.5039825439453125
64,8,negate,openblas-aligned,6,131072,881503,886784,6.7253341674804688,6.765625
64,8,negate,openblas,6,131072,941872,946881,7.1859130859375,7.2241287231445312
64,8,negate,onemkl,6,131072,1777061,1782440,13.557899475097656,13.59893798828125
64,8,negate,current,7,131072,775107,780374,5.9135971069335938,5.9537811279296875
64,8,negate,pointers,7,131072,770640,775753,5.8795166015625,5.9185256958007812
64,8,negate,pipeline,7,131072,775952,781376,5.9200439453125,5.96142578125
64,8,negate,blocks,7,131072,774764,779975,5.910980224609375,5.9507369995117188
64,8,negate,openblas-leaf,7,131072,833120,838535,6.356201171875,6.3975143432617188
64,8,negate,openblas-aligned,7,131072,865500,870920,6.603240966796875,6.64459228515625
64,8,negate,openblas,7,131072,928061,933341,7.0805435180664062,7.1208267211914062
64,8,negate,onemkl,7,131072,1633485,1639074,12.462501525878906,12.505142211914062
64,8,powers-two,current,1,131072,782790,787745,5.9722137451171875,6.0100173950195312
64,8,powers-two,pointers,1,131072,770374,775446,5.8774871826171875,5.9161834716796875
64,8,powers-two,pipeline,1,131072,772840,777709,5.89630126953125,5.9334487915039062
64,8,powers-two,blocks,1,131072,768102,773061,5.8601531982421875,5.8979873657226562
64,8,powers-two,openblas-leaf,1,131072,834851,840034,6.3694076538085938,6.4089508056640625
64,8,powers-two,openblas-aligned,1,131072,864749,869732,6.5975112915039062,6.635528564453125
